회사명,종목코드,업종,상장일,시장구분,yf_ticker
케이카,381970,자동차 판매업,2021-10-13,코스피,381970.KS
코스맥스,192820,기타 화학제품 제조업,2014-04-07,코스피,192820.KS
코스맥스비티아이,044820,기타 금융업,2006-11-13,코스피,044820.KS
크라운해태홀딩스,005740,기타 금융업,1976-06-30,코스피,005740.KS
태양금속공업,004100,자동차 신품 부품 제조업,1976-05-25,코스피,004100.KS
티에이치엔,019180,기타 전기장비 제조업,1996-07-31,코스피,019180.KS
티와이홀딩스,363280,기타 금융업,2020-09-22,코스피,363280.KS
티웨이항공,091810,항공 여객 운송업,2018-08-01,코스피,091810.KS
페이퍼코리아,001020,"펄프, 종이 및 판지 제조업",1976-06-26,코스피,001020.KS
평화산업,090080,자동차 신품 부품 제조업,2006-06-02,코스피,090080.KS
프레스티지바이오파마,950210,자연과학 및 공학 연구개발업,2021-02-05,코스피,950210.KS
하이브,352820,오디오물 출판 및 원판 녹음업,2020-10-15,코스피,352820.KS
하이트진로,000080,알코올음료 제조업,2009-10-19,코스피,000080.KS
한국무브넥스,010100,자동차 신품 부품 제조업,1987-10-02,코스피,010100.KS
한국자산신탁,123890,신탁업 및 집합투자업,2016-07-13,코스피,123890.KS
한국전자홀딩스,006200,기타 금융업,1979-11-30,코스피,006200.KS
한국제지,027970,"펄프, 종이 및 판지 제조업",1996-07-03,코스피,027970.KS
한국타이어앤테크놀로지,161390,고무제품 제조업,2012-10-04,코스피,161390.KS
한미글로벌,053690,"건축기술, 엔지니어링 및 관련 기술 서비스업",2009-06-23,코스피,053690.KS
한솔케미칼,014680,기초 화학물질 제조업,1989-05-20,코스피,014680.KS
한솔피엔에스,010420,기타 전문 도매업,1989-05-31,코스피,010420.KS
한일철강,002220,1차 철강 제조업,1988-10-07,코스피,002220.KS
한화리츠,451800,부동산 임대 및 공급업,2023-03-27,코스피,451800.KS
한화비전,489790,기타 금융업,2024-09-27,코스피,489790.KS
한화오션,042660,선박 및 보트 건조업,2001-02-02,코스피,042660.KS
해성디에스,195870,전자부품 제조업,2016-06-24,코스피,195870.KS
현대글로비스,086280,기타 운송관련 서비스업,2005-12-26,코스피,086280.KS
화승엔터프라이즈,241590,신발 및 신발 부분품 제조업,2016-10-04,코스피,241590.KS
황금에스티,032560,1차 비철금속 제조업,2009-10-29,코스피,032560.KS
후성,093370,기초 화학물질 제조업,2006-12-22,코스피,093370.KS
CJ프레시웨이,051500,음·식료품 및 담배 도매업,2001-07-26,코스닥,051500.KQ
FSN,214270,소프트웨어 개발 및 공급업,2015-03-25,코스닥,214270.KQ
GH신소재,130500,기타 섬유제품 제조업,2013-08-02,코스닥,130500.KQ
GRT,900290,기타 금융업,2016-10-25,코스닥,900290.KQ
HLB,028300,의료용품 및 기타 의약 관련제품 제조업,1996-07-27,코스닥,028300.KQ
HPSP,403870,특수 목적용 기계 제조업,2022-07-15,코스닥,403870.KQ
KCC건설,021320,건물 건설업,2001-08-21,코스닥,021320.KQ
M83,476080,"영화, 비디오물, 방송프로그램 제작 및 배급업",2024-08-22,코스닥,476080.KQ
PN풍년,024940,생활용품 도매업,1995-01-04,코스닥,024940.KQ
RFHIC,218410,통신 및 방송 장비 제조업,2015-06-30,코스닥,218410.KQ
S&K폴리텍,091340,전자부품 제조업,2007-07-30,코스닥,091340.KQ
SGA,049470,소프트웨어 개발 및 공급업,2001-10-11,코스닥,049470.KQ
SM Life Design,063440,기록매체 복제업,2002-05-30,코스닥,063440.KQ
YBM넷,057030,교육지원 서비스업,2004-06-08,코스닥,057030.KQ
iMBC,052220,영상·오디오물 제공 서비스업,2005-01-21,코스닥,052220.KQ
가온그룹,078890,통신 및 방송 장비 제조업,2005-07-12,코스닥,078890.KQ
감성코퍼레이션,036620,기타 전문 도매업,2000-01-11,코스닥,036620.KQ
경동제약,011040,의약품 제조업,1992-12-18,코스닥,011040.KQ
경창산업,024910,자동차 신품 부품 제조업,1994-12-29,코스닥,024910.KQ
골드앤에스,035290,"서적, 잡지 및 기타 인쇄물 출판업",1999-12-07,코스닥,035290.KQ
교보17호스팩,489210,금융 지원 서비스업,2024-11-21,코스닥,489210.KQ
금화피에스시,036190,전기 및 통신 공사업,2000-12-26,코스닥,036190.KQ
나노엔텍,039860,의료용 기기 제조업,2000-08-16,코스닥,039860.KQ
내츄럴엔도텍,168330,자연과학 및 공학 연구개발업,2013-10-31,코스닥,168330.KQ
네오펙트,290660,의료용 기기 제조업,2018-11-28,코스닥,290660.KQ
노바텍,285490,그외 기타 제품 제조업,2018-11-02,코스닥,285490.KQ
녹십자엠에스,142280,의료용품 및 기타 의약 관련제품 제조업,2014-12-17,코스닥,142280.KQ
뉴온,123840,특수 목적용 기계 제조업,2010-10-05,코스닥,123840.KQ
다원넥스뷰,323350,사진장비 및 광학기기 제조업,2024-06-11,코스닥,323350.KQ
대명에너지,389260,건물 건설업,2022-05-16,코스닥,389260.KQ
대모,317850,특수 목적용 기계 제조업,2019-07-24,코스닥,317850.KQ
대성미생물,036480,의약품 제조업,2000-04-04,코스닥,036480.KQ
대원산업,005710,자동차 신품 부품 제조업,1993-06-21,코스닥,005710.KQ
더네이쳐홀딩스,298540,의복 액세서리 제조업,2020-07-27,코스닥,298540.KQ
더블유에스아이,299170,생활용품 도매업,2018-09-21,코스닥,299170.KQ
덕우전자,263600,전자부품 제조업,2017-08-28,코스닥,263600.KQ
덴티스,261200,의료용 기기 제조업,2017-06-26,코스닥,261200.KQ
동구바이오제약,006620,의약품 제조업,2018-02-13,코스닥,006620.KQ
동우팜투테이블,088910,"도축, 육류 가공 및 저장 처리업",2006-06-23,코스닥,088910.KQ
