회사명,종목코드,업종,상장일,시장구분,yf_ticker
DSR제강,069730,1차 철강 제조업,2003-01-28,코스피,069730.KS
GS글로벌,001250,상품 종합 도매업,1976-06-26,코스피,001250.KS
HDC랩스,039570,전기 및 통신 공사업,2015-09-24,코스피,039570.KS
HDC현대산업개발,294870,건물 건설업,2018-06-12,코스피,294870.KS
HD한국조선해양,009540,기타 금융업,1999-08-24,코스피,009540.KS
HD현대,267250,기타 금융업,2017-05-10,코스피,267250.KS
HL만도,204320,자동차 신품 부품 제조업,2014-10-06,코스피,204320.KS
LS네트웍스,000680,상품 종합 도매업,1973-11-15,코스피,000680.KS
NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2008-11-28,코스피,035420.KS
NICE평가정보,030190,기타 정보 서비스업,2023-08-08,코스피,030190.KS
SG세계물산,004060,상품 종합 도매업,1976-04-19,코스피,004060.KS
SK바이오사이언스,302440,기초 의약물질 제조업,2021-03-18,코스피,302440.KS
SK이터닉스,475150,건물 건설업,2024-03-29,코스피,475150.KS
경농,002100,"비료, 농약 및 살균, 살충제 제조업",1977-06-30,코스피,002100.KS
금호석유화학,011780,기초 화학물질 제조업,1988-01-22,코스피,011780.KS
금호에이치티,214330,자동차 신품 부품 제조업,2015-11-11,코스피,214330.KS
기업은행,024110,은행 및 저축기관,2003-12-24,코스피,024110.KS
넥센,005720,고무제품 제조업,1987-12-19,코스피,005720.KS
대덕전자,353200,전자부품 제조업,2020-05-21,코스피,353200.KS
대원전선,006340,절연선 및 케이블 제조업,1988-05-04,코스피,006340.KS
대한항공,003490,항공 여객 운송업,1966-03-18,코스피,003490.KS
대현,016090,봉제의복 제조업,1990-09-20,코스피,016090.KS
덴티움,145720,의료용 기기 제조업,2017-03-15,코스피,145720.KS
동성제약,002210,의약품 제조업,1990-01-19,코스피,002210.KS
동아에스티,170900,의약품 제조업,2013-04-08,코스피,170900.KS
동양,001520,"시멘트, 석회, 플라스터 및 그 제품 제조업",1976-06-25,코스피,001520.KS
동원금속,018500,자동차 신품 부품 제조업,1995-11-10,코스피,018500.KS
동화약품,000020,의약품 제조업,1976-03-24,코스피,000020.KS
디와이,013570,기타 금융업,1989-05-30,코스피,013570.KS
롯데에너지머티리얼즈,020150,전자부품 제조업,2011-03-04,코스피,020150.KS
롯데케미칼,011170,기초 화학물질 제조업,1991-05-30,코스피,011170.KS
명신산업,009900,자동차 신품 부품 제조업,2020-12-07,코스피,009900.KS
모나리자,012690,기타 종이 및 판지 제품 제조업,1988-10-14,코스피,012690.KS
무림페이퍼,009200,"펄프, 종이 및 판지 제조업",1990-06-09,코스피,009200.KS
미래에셋글로벌리츠,396690,부동산 임대 및 공급업,2021-12-03,코스피,396690.KS
미래에셋맵스리츠,357250,부동산 임대 및 공급업,2020-08-05,코스피,357250.KS
미래에셋생명,085620,보험업,2015-07-08,코스피,085620.KS
미원홀딩스,107590,기타 금융업,2009-03-02,코스피,107590.KS
부산산업,011390,"시멘트, 석회, 플라스터 및 그 제품 제조업",1990-09-14,코스피,011390.KS
삼성제약,001360,의약품 제조업,1975-07-04,코스피,001360.KS
삼정펄프,009770,"펄프, 종이 및 판지 제조업",2006-10-17,코스피,009770.KS
선도전기,007610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1989-11-30,코스피,007610.KS
선진,136490,동물용 사료 및 조제식품 제조업,2011-02-16,코스피,136490.KS
세원정공,021820,자동차 신품 부품 제조업,1996-07-03,코스피,021820.KS
신성통상,005390,기타 전문 도매업,1975-12-22,코스피,005390.KS
신한알파리츠,293940,부동산 임대 및 공급업,2018-08-08,코스피,293940.KS
신한지주,055550,기타 금융업,2001-09-10,코스피,055550.KS
쏘카,403550,운송장비 임대업,2022-08-22,코스피,403550.KS
아시아나항공,020560,항공 여객 운송업,2008-03-28,코스피,020560.KS
아이에이치큐,003560,"영화, 비디오물, 방송프로그램 제작 및 배급업",1973-12-18,코스피,003560.KS
엔씨소프트,036570,소프트웨어 개발 및 공급업,2003-05-22,코스피,036570.KS
엔피씨,004250,플라스틱제품 제조업,1969-09-08,코스피,004250.KS
와이투솔루션,011690,반도체 제조업,1995-12-21,코스피,011690.KS
우진,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,코스피,105840.KS
웅진,016880,회사 본부 및 경영 컨설팅 서비스업,1994-11-05,코스피,016880.KS
원림,005820,직물직조 및 직물제품 제조업,1990-04-20,코스피,005820.KS
이건산업,008250,나무제품 제조업,1988-10-21,코스피,008250.KS
이구산업,025820,1차 비철금속 제조업,1995-08-18,코스피,025820.KS
이리츠코크렙,088260,부동산 임대 및 공급업,2018-06-27,코스피,088260.KS
인바이오젠,101140,기계장비 및 관련 물품 도매업,2008-04-02,코스피,101140.KS
인스코비,006490,전기 통신업,1985-01-17,코스피,006490.KS
인지컨트롤스,023800,자동차 신품 부품 제조업,1997-06-23,코스피,023800.KS
일동홀딩스,000230,의약품 제조업,1975-06-28,코스피,000230.KS
일신방직,003200,방적 및 가공사 제조업,1973-05-23,코스피,003200.KS
일신석재,007110,"건축자재, 철물 및 난방장치 도매업",1986-03-04,코스피,007110.KS
제이준코스메틱,025620,기타 화학제품 제조업,1995-07-08,코스피,025620.KS
종근당바이오,063160,의약품 제조업,2001-12-11,코스피,063160.KS
주성코퍼레이션,109070,통신 및 방송 장비 제조업,2009-03-17,코스피,109070.KS
참엔지니어링,009310,특수 목적용 기계 제조업,1987-11-12,코스피,009310.KS
코람코더원리츠,417310,부동산 임대 및 공급업,2022-03-28,코스피,417310.KS
코람코라이프인프라리츠,357120,부동산 임대 및 공급업,2020-08-31,코스피,357120.KS
코스모화학,005420,기타 화학제품 제조업,1987-07-23,코스피,005420.KS
코오롱ENP,138490,합성고무 및 플라스틱 물질 제조업,2011-06-15,코스피,138490.KS
코오롱글로벌,003070,토목 건설업,1978-09-15,코스피,003070.KS
쿠쿠홈시스,284740,개인 및 가정용품 임대업,2018-01-11,코스피,284740.KS
크라운제과,264900,"떡, 빵 및 과자류 제조업",2017-04-11,코스피,264900.KS
키다리스튜디오,020120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1996-07-03,코스피,020120.KS
키움증권,039490,금융 지원 서비스업,2009-08-03,코스피,039490.KS
티비에이치글로벌,084870,봉제의복 제조업,2005-12-19,코스피,084870.KS
퍼시스,016800,가구 제조업,1996-12-24,코스피,016800.KS
풍산홀딩스,005810,기타 금융업,1988-07-28,코스피,005810.KS
한국금융지주,071050,기타 금융업,2003-07-21,코스피,071050.KS
한국석유공업,004090,기타 비금속 광물제품 제조업,1977-06-25,코스피,004090.KS
한국주철관공업,000970,1차 철강 제조업,1969-12-12,코스피,000970.KS
한국카본,017960,"구조용 금속제품, 탱크 및 증기발생기 제조업",1995-07-08,코스피,017960.KS
한국특강,007280,1차 철강 제조업,1989-11-13,코스피,007280.KS
한일홀딩스,003300,"시멘트, 석회, 플라스터 및 그 제품 제조업",1969-11-20,코스피,003300.KS
한진칼,180640,기타 금융업,2013-09-16,코스피,180640.KS
한창,005110,기계장비 및 관련 물품 도매업,1976-06-01,코스피,005110.KS
한화시스템,272210,전자부품 제조업,2019-11-13,코스피,272210.KS
현대비앤지스틸,004560,1차 철강 제조업,1987-03-24,코스피,004560.KS
현대오토에버,307950,소프트웨어 개발 및 공급업,2019-03-28,코스피,307950.KS
현대차증권,001500,금융 지원 서비스업,1990-06-09,코스피,001500.KS
현대해상,001450,보험업,1989-08-25,코스피,001450.KS
형지엘리트,093240,봉제의복 제조업,2009-09-28,코스피,093240.KS
혜인,003010,기계장비 및 관련 물품 도매업,1988-09-20,코스피,003010.KS
효성 ITX,094280,기타 사업지원 서비스업,2007-10-25,코스피,094280.KS
효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-07-13,코스피,298040.KS
효성화학,298000,기초 화학물질 제조업,2018-07-13,코스피,298000.KS
BNK금융지주,138930,기타 금융업,2011-03-30,코스피,138930.KS
CJ제일제당,097950,기타 식품 제조업,2007-09-28,코스피,097950.KS
DRB동일,004840,고무제품 제조업,1976-05-21,코스피,004840.KS
GS건설,006360,건물 건설업,1981-08-03,코스피,006360.KS
HDC현대EP,089470,기타 화학제품 제조업,2006-09-25,코스피,089470.KS
HD현대건설기계,267270,일반 목적용 기계 제조업,2017-05-10,코스피,267270.KS
HD현대마린엔진,071970,일반 목적용 기계 제조업,2009-05-15,코스피,071970.KS
HD현대인프라코어,042670,특수 목적용 기계 제조업,2001-02-02,코스피,042670.KS
HJ중공업,097230,토목 건설업,2007-08-31,코스피,097230.KS
HLB글로벌,003580,종합 소매업,1990-03-23,코스피,003580.KS
HS효성,487570,기타 금융업,2024-07-29,코스피,487570.KS
JB금융지주,175330,기타 금융업,2013-07-18,코스피,175330.KS
PI첨단소재,178920,플라스틱제품 제조업,2021-08-09,코스피,178920.KS
PKC,001340,기초 화학물질 제조업,1976-06-10,코스피,001340.KS
SK리츠,395400,부동산 임대 및 공급업,2021-09-14,코스피,395400.KS
SNT에너지,100840,일반 목적용 기계 제조업,2008-02-22,코스피,100840.KS
SUN&L,002820,나무제품 제조업,1976-05-22,코스피,002820.KS
강원랜드,035250,유원지 및 기타 오락관련 서비스업,2003-09-04,코스피,035250.KS
경동인베스트,012320,기타 금융업,1997-03-07,코스피,012320.KS
경방,000050,종합 소매업,1956-03-03,코스피,000050.KS
경보제약,214390,기초 의약물질 제조업,2015-06-29,코스피,214390.KS
고려제강,002240,1차 철강 제조업,1976-05-25,코스피,002240.KS
교보증권,030610,금융 지원 서비스업,2002-07-18,코스피,030610.KS
금강공업,014280,1차 철강 제조업,1988-09-10,코스피,014280.KS
금호건설,002990,건물 건설업,1976-06-26,코스피,002990.KS
남선알미늄,008350,1차 비철금속 제조업,1978-05-22,코스피,008350.KS
노루페인트,090350,기타 화학제품 제조업,2006-07-03,코스피,090350.KS
노루홀딩스,000320,기타 금융업,1973-08-10,코스피,000320.KS
다스코,058730,"구조용 금속제품, 탱크 및 증기발생기 제조업",2004-08-02,코스피,058730.KS
다올투자증권,030210,금융 지원 서비스업,1996-11-19,코스피,030210.KS
다우기술,023590,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1997-08-27,코스피,023590.KS
대동전자,008110,통신 및 방송 장비 제조업,1990-06-05,코스피,008110.KS
대웅,003090,의약품 제조업,1973-06-26,코스피,003090.KS
대웅제약,069620,의약품 제조업,2002-11-01,코스피,069620.KS
대원강업,000430,자동차 신품 부품 제조업,1977-06-22,코스피,000430.KS
대창단조,015230,자동차 신품 부품 제조업,1989-07-25,코스피,015230.KS
동국씨엠,460850,1차 철강 제조업,2023-06-16,코스피,460850.KS
동국홀딩스,001230,기타 금융업,1988-05-09,코스피,001230.KS
동부건설,005960,토목 건설업,1978-10-30,코스피,005960.KS
동아쏘시오홀딩스,000640,기타 금융업,1970-02-10,코스피,000640.KS
동원시스템즈,014820,플라스틱제품 제조업,1994-03-29,코스피,014820.KS
동일고무벨트,163560,고무제품 제조업,2012-10-19,코스피,163560.KS
두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019-10-18,코스피,336260.KS
디와이파워,210540,특수 목적용 기계 제조업,2015-01-15,코스피,210540.KS
롯데관광개발,032350,여행사 및 기타 여행보조 서비스업,2006-06-08,코스피,032350.KS
롯데쇼핑,023530,종합 소매업,2006-02-09,코스피,023530.KS
롯데지주,004990,기타 금융업,1974-02-16,코스피,004990.KS
만호제강,001080,1차 철강 제조업,1977-06-18,코스피,001080.KS
맵스리얼티1,094800,신탁업 및 집합투자업,2007-04-09,코스피,094800.KS
미래에셋증권,006800,금융 지원 서비스업,1975-09-30,코스피,006800.KS
부국철강,026940,1차 철강 제조업,2008-10-14,코스피,026940.KS
사조동아원,008040,"곡물가공품, 전분 및 전분제품 제조업",1989-06-24,코스피,008040.KS
삼부토건,001470,토목 건설업,1976-06-26,코스피,001470.KS
삼성공조,006660,자동차 신품 부품 제조업,1987-11-28,코스피,006660.KS
삼성중공업,010140,선박 및 보트 건조업,1994-01-28,코스피,010140.KS
삼양홀딩스,000070,기타 금융업,1968-12-27,코스피,000070.KS
삼호개발,010960,기반조성 및 시설물 축조관련 전문공사업,2005-05-12,코스피,010960.KS
삼화왕관,004450,기타 금속 가공제품 제조업,1976-05-28,코스피,004450.KS
세방전지,004490,일차전지 및 이차전지 제조업,1987-11-28,코스피,004490.KS
세아베스틸지주,001430,1차 철강 제조업,1991-03-12,코스피,001430.KS
세아제강,306200,1차 철강 제조업,2018-10-05,코스피,306200.KS
세아특수강,019440,1차 철강 제조업,2011-06-01,코스피,019440.KS
셀트리온,068270,기초 의약물질 제조업,2018-02-09,코스피,068270.KS
신라교역,004970,어로 어업,1976-06-30,코스피,004970.KS
신성이엔지,011930,반도체 제조업,1996-07-31,코스피,011930.KS
신세계I&C,035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2006-05-18,코스피,035510.KS
아센디오,012170,"영화, 비디오물, 방송프로그램 제작 및 배급업",1989-12-20,코스피,012170.KS
아주스틸,139990,1차 철강 제조업,2021-08-20,코스피,139990.KS
알루코,001780,1차 비철금속 제조업,2007-06-07,코스피,001780.KS
에스케이바이오팜,326030,자연과학 및 공학 연구개발업,2020-07-02,코스피,326030.KS
엘브이엠씨,900140,자동차 판매업,2010-11-30,코스피,900140.KS
엘에스일렉트릭,010120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1994-07-11,코스피,010120.KS
영원무역,111770,상품 종합 도매업,2009-07-30,코스피,111770.KS
영화금속,012280,자동차 신품 부품 제조업,1990-01-25,코스피,012280.KS
유엔젤,072130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2003-07-01,코스피,072130.KS
이수스페셜티케미컬,457190,기초 화학물질 제조업,2023-05-31,코스피,457190.KS
이수페타시스,007660,전자부품 제조업,2003-10-07,코스피,007660.KS
이월드,084680,귀금속 및 장신용품 제조업,2005-07-26,코스피,084680.KS
이지스밸류플러스리츠,334890,부동산 임대 및 공급업,2020-07-16,코스피,334890.KS
인팩,023810,자동차 신품 부품 제조업,2004-09-21,코스피,023810.KS
일진홀딩스,015860,기타 금융업,1990-03-22,코스피,015860.KS
자이에스앤디,317400,부동산 임대 및 공급업,2019-11-06,코스피,317400.KS
전진건설로봇,079900,특수 목적용 기계 제조업,2024-08-19,코스피,079900.KS
제일파마홀딩스,002620,회사 본부 및 경영 컨설팅 서비스업,1988-01-20,코스피,002620.KS
조비,001550,"비료, 농약 및 살균, 살충제 제조업",1976-12-28,코스피,001550.KS
지누스,013890,가구 제조업,2019-10-30,코스피,013890.KS
지엠비코리아,013870,자동차 신품 부품 제조업,2012-11-20,코스피,013870.KS
카카오페이,377300,금융 지원 서비스업,2021-11-03,코스피,377300.KS
코리아써키트,007810,전자부품 제조업,1985-09-09,코스피,007810.KS
코오롱,002020,기타 금융업,1975-06-23,코스피,002020.KS
태경산업,015890,기초 화학물질 제조업,1996-01-30,코스피,015890.KS
티웨이홀딩스,004870,"시멘트, 석회, 플라스터 및 그 제품 제조업",1977-06-30,코스피,004870.KS
파미셀,005690,기초 의약물질 제조업,1988-05-20,코스피,005690.KS
포스코스틸리온,058430,1차 철강 제조업,2002-08-16,코스피,058430.KS
하나투어,039130,여행사 및 기타 여행보조 서비스업,2011-11-01,코스피,039130.KS
한국내화,010040,"내화, 비내화 요업제품 제조업",2000-10-16,코스피,010040.KS
한국단자공업,025540,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1996-10-16,코스피,025540.KS
한국종합기술,023350,"건축기술, 엔지니어링 및 관련 기술 서비스업",2011-04-28,코스피,023350.KS
한세예스24홀딩스,016450,봉제의복 제조업,2000-01-06,코스피,016450.KS
한일현대시멘트,006390,"시멘트, 석회, 플라스터 및 그 제품 제조업",1975-12-26,코스피,006390.KS
한전기술,052690,"건축기술, 엔지니어링 및 관련 기술 서비스업",2009-12-14,코스피,052690.KS
한진중공업홀딩스,003480,연료용 가스 제조 및 배관공급업,1956-03-03,코스피,003480.KS
한컴라이프케어,372910,의료용 기기 제조업,2021-08-17,코스피,372910.KS
해태제과식품,101530,기타 식품 제조업,2016-05-11,코스피,101530.KS
현대약품,004310,의약품 제조업,1978-06-28,코스피,004310.KS
현대코퍼레이션,011760,상품 종합 도매업,1977-12-01,코스피,011760.KS
호전실업,111110,봉제의복 제조업,2017-02-02,코스피,111110.KS
호텔신라,008770,기타 상품 전문 소매업,1991-03-12,코스피,008770.KS
효성티앤씨,298020,화학섬유 제조업,2018-07-13,코스피,298020.KS
BYC,001460,봉제의복 제조업,1975-06-02,코스피,001460.KS
CJ CGV,079160,"영화, 비디오물, 방송프로그램 제작 및 배급업",2004-12-24,코스피,079160.KS
DYP,092780,자동차용 엔진 및 자동차 제조업,2017-12-08,코스피,092780.KS
GKL,114090,유원지 및 기타 오락관련 서비스업,2009-11-19,코스피,114090.KS
GS피앤엘,499790,기타 금융업,2024-12-23,코스피,499790.KS
HS화성,002460,건물 건설업,1988-09-29,코스피,002460.KS
KC그린홀딩스,009440,기타 금융업,1994-11-05,코스피,009440.KS
KC코트렐,119650,일반 목적용 기계 제조업,2010-01-29,코스피,119650.KS
KSS해운,044450,해상 운송업,2007-10-26,코스피,044450.KS
KTis,058860,기타 정보 서비스업,2010-12-17,코스피,058860.KS
LF,093050,봉제의복 제조업,2006-12-01,코스피,093050.KS
LG유플러스,032640,전기 통신업,2008-04-21,코스피,032640.KS
LIG넥스원,079550,무기 및 총포탄 제조업,2015-10-02,코스피,079550.KS
LS,006260,기타 금융업,1977-06-30,코스피,006260.KS
LS에코에너지,229640,기타 금융업,2016-09-22,코스피,229640.KS
LX하우시스,108670,플라스틱제품 제조업,2009-04-20,코스피,108670.KS
MH에탄올,023150,알코올음료 제조업,1996-12-24,코스피,023150.KS
NH올원리츠,400760,부동산 임대 및 공급업,2021-11-18,코스피,400760.KS
NI스틸,008260,1차 철강 제조업,1975-06-28,코스피,008260.KS
SIMPAC,009160,1차 철강 제조업,1989-07-29,코스피,009160.KS
SK가스,018670,기타 전문 도매업,1997-08-27,코스피,018670.KS
SK디스커버리,006120,기타 금융업,1976-06-29,코스피,006120.KS
SNT다이내믹스,003570,자동차 신품 부품 제조업,1976-07-08,코스피,003570.KS
경동나비엔,009450,가정용 기기 제조업,1993-08-31,코스피,009450.KS
경인양행,012610,기초 화학물질 제조업,1995-10-05,코스피,012610.KS
광명전기,017040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1990-09-14,코스피,017040.KS
남성,004270,기타 전문 도매업,1989-11-14,코스피,004270.KS
남양유업,003920,동·식물성 유지 및 낙농제품 제조업,1978-06-24,코스피,003920.KS
넷마블,251270,소프트웨어 개발 및 공급업,2017-05-12,코스피,251270.KS
녹십자홀딩스,005250,회사 본부 및 경영 컨설팅 서비스업,1978-08-28,코스피,005250.KS
대교,019680,초등 교육기관,2004-02-03,코스피,019680.KS
대상,001680,기타 식품 제조업,1970-04-01,코스피,001680.KS
대신증권,003540,금융 지원 서비스업,1975-10-01,코스피,003540.KS
대원제약,003220,의약품 제조업,1999-12-15,코스피,003220.KS
대한전선,001440,절연선 및 케이블 제조업,1968-12-27,코스피,001440.KS
동성케미컬,102260,합성고무 및 플라스틱 물질 제조업,2008-06-23,코스피,102260.KS
동양생명,082640,보험업,2009-10-08,코스피,082640.KS
동양철관,008970,1차 철강 제조업,1977-03-05,코스피,008970.KS
동원산업,006040,기타 금융업,1989-03-07,코스피,006040.KS
디앤디플랫폼리츠,377190,부동산 임대 및 공급업,2021-08-27,코스피,377190.KS
롯데이노베이트,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-07-27,코스피,286940.KS
맥쿼리인프라,088980,신탁업 및 집합투자업,2006-03-15,코스피,088980.KS
메타케어,118000,기계장비 및 관련 물품 도매업,2009-12-30,코스피,118000.KS
무림P&P,009580,"펄프, 종이 및 판지 제조업",1989-06-20,코스피,009580.KS
무학,033920,알코올음료 제조업,2010-07-20,코스피,033920.KS
미래아이앤지,007120,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1999-11-26,코스피,007120.KS
미창석유공업,003650,석유 정제품 제조업,1989-09-27,코스피,003650.KS
범양건영,002410,건물 건설업,1988-05-25,코스피,002410.KS
비상교육,100220,"서적, 잡지 및 기타 인쇄물 출판업",2008-06-30,코스피,100220.KS
삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2014-11-14,코스피,018260.KS
삼성출판사,068290,"서적, 잡지 및 기타 인쇄물 출판업",2002-08-05,코스피,068290.KS
삼성화재해상보험,000810,보험업,1975-06-30,코스피,000810.KS
삼양패키징,272550,플라스틱제품 제조업,2017-11-29,코스피,272550.KS
삼영,003720,플라스틱제품 제조업,1976-06-30,코스피,003720.KS
삼익악기,002450,악기 제조업,1988-09-30,코스피,002450.KS
삼진제약,005500,의약품 제조업,1988-06-18,코스피,005500.KS
삼화전자공업,011230,영상 및 음향기기 제조업,1987-05-25,코스피,011230.KS
서원,021050,금속 주조업,1996-01-30,코스피,021050.KS
성문전자,014910,전자부품 제조업,1990-03-24,코스피,014910.KS
세원이앤씨,091090,"구조용 금속제품, 탱크 및 증기발생기 제조업",2006-07-31,코스피,091090.KS
스틱인베스트먼트,026890,신탁업 및 집합투자업,1997-11-25,코스피,026890.KS
신도리코,029530,컴퓨터 및 주변장치 제조업,1996-12-24,코스피,029530.KS
신영증권,001720,금융 지원 서비스업,1987-08-24,코스피,001720.KS
아시아나IDT,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-11-23,코스피,267850.KS
아이티센씨티에스,031820,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1997-02-12,코스피,031820.KS
애경케미칼,161000,기초 화학물질 제조업,2012-09-17,코스피,161000.KS
에스제이엠홀딩스,025530,자동차 부품 및 내장품 판매업,1997-02-12,코스피,025530.KS
에이프로젠바이오로직스,003060,의약품 제조업,1984-10-19,코스피,003060.KS
에이피알,278470,기타 화학제품 제조업,2024-02-27,코스피,278470.KS
오리온홀딩스,001800,기타 금융업,1975-06-27,코스피,001800.KS
유진증권,001200,금융 지원 서비스업,1987-08-24,코스피,001200.KS
유화증권,003460,금융 지원 서비스업,1987-08-24,코스피,003460.KS
이지스레지던스리츠,350520,부동산 임대 및 공급업,2020-08-05,코스피,350520.KS
이화산업,000760,기타 전문 도매업,1994-04-29,코스피,000760.KS
인천도시가스,034590,연료용 가스 제조 및 배관공급업,2006-11-07,코스피,034590.KS
인터지스,129260,도로 화물 운송업,2011-12-16,코스피,129260.KS
일성건설,013360,토목 건설업,1989-12-02,코스피,013360.KS
잇츠한불,226320,기타 화학제품 제조업,2015-12-28,코스피,226320.KS
자화전자,033240,전자부품 제조업,1999-01-06,코스피,033240.KS
전방,000950,방적 및 가공사 제조업,1968-10-21,코스피,000950.KS
종근당홀딩스,001630,의약품 제조업,1976-06-30,코스피,001630.KS
주연테크,044380,컴퓨터 및 주변장치 제조업,2006-11-15,코스피,044380.KS
진원생명과학,011000,의약품 제조업,1987-11-16,코스피,011000.KS
코오롱모빌리티그룹,450140,자동차 판매업,2023-01-31,코스피,450140.KS
콘텐트리중앙,036420,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-10-18,코스피,036420.KS
쿠쿠홀딩스,192400,기타 금융업,2014-08-06,코스피,192400.KS
크래프톤,259960,소프트웨어 개발 및 공급업,2021-08-10,코스피,259960.KS
태광산업,003240,화학섬유 제조업,1975-12-27,코스피,003240.KS
태림포장,011280,"골판지, 종이 상자 및 종이용기 제조업",1988-12-20,코스피,011280.KS
토니모리,214420,기타 화학제품 제조업,2015-07-10,코스피,214420.KS
티케이지휴켐스,069260,기타 화학제품 제조업,2002-10-07,코스피,069260.KS
팜스코,036580,"곡물가공품, 전분 및 전분제품 제조업",1999-10-25,코스피,036580.KS
풍산,103140,1차 비철금속 제조업,2008-07-30,코스피,103140.KS
하나금융지주,086790,기타 금융업,2005-12-12,코스피,086790.KS
하이트진로홀딩스,000140,기타 금융업,1973-09-19,코스피,000140.KS
한국ANKOR유전,152550,신탁업 및 집합투자업,2012-03-08,코스피,152550.KS
한국공항,005430,기타 운송관련 서비스업,1976-12-28,코스피,005430.KS
한국전력공사,015760,전기업,1989-08-10,코스피,015760.KS
한신공영,004960,건물 건설업,1976-07-07,코스피,004960.KS
한전KPS,051600,전기 및 통신 공사업,2007-12-14,코스피,051600.KS
한창제지,009460,"펄프, 종이 및 판지 제조업",1987-12-23,코스피,009460.KS
한화손해보험,000370,보험업,1975-06-30,코스피,000370.KS
한화솔루션,009830,기초 화학물질 제조업,1974-06-19,코스피,009830.KS
한화투자증권,003530,금융 지원 서비스업,1986-11-25,코스피,003530.KS
현대로템,064350,철도장비 제조업,2013-10-30,코스피,064350.KS
현대백화점,069960,종합 소매업,2002-11-25,코스피,069960.KS
현대자동차,005380,자동차용 엔진 및 자동차 제조업,1974-06-28,코스피,005380.KS
화신,010690,자동차 신품 부품 제조업,1994-01-14,코스피,010690.KS
화천기계,010660,특수 목적용 기계 제조업,1988-12-12,코스피,010660.KS
환인제약,016580,의약품 제조업,1996-07-03,코스피,016580.KS
BGF리테일,282330,종합 소매업,2017-12-08,코스피,282330.KS
CJ씨푸드,011150,기타 식품 제조업,1988-11-26,코스피,011150.KS
DB,012030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1993-01-06,코스피,012030.KS
DH오토넥스,000300,자동차 신품 부품 제조업,1975-06-09,코스피,000300.KS
HL홀딩스,060980,기타 금융업,2010-05-19,코스피,060980.KS
HMM,011200,해상 운송업,1995-10-05,코스피,011200.KS
HS애드,035000,광고업,1999-08-11,코스피,035000.KS
HS효성첨단소재,298050,화학섬유 제조업,2018-07-13,코스피,298050.KS
KISCO홀딩스,001940,1차 철강 제조업,1989-11-13,코스피,001940.KS
LG전자,066570,통신 및 방송 장비 제조업,2002-04-22,코스피,066570.KS
LG화학,051910,기초 화학물질 제조업,2001-04-25,코스피,051910.KS
LX인터내셔널,001120,상품 중개업,1976-01-30,코스피,001120.KS
NH프라임리츠,338100,부동산 임대 및 공급업,2019-12-05,코스피,338100.KS
OCI홀딩스,010060,기타 금융업,1985-07-09,코스피,010060.KS
SK,034730,기타 금융업,2009-11-11,코스피,034730.KS
SKC,011790,기타 화학제품 제조업,1997-07-18,코스피,011790.KS
SK네트웍스,001740,기타 전문 도매업,1977-06-30,코스피,001740.KS
SK증권,001510,금융 지원 서비스업,1986-09-20,코스피,001510.KS
STX그린로지스,465770,해상 운송업,2023-09-15,코스피,465770.KS
TP,007980,봉제의복 제조업,1994-12-27,코스피,007980.KS
WISCOM,024070,플라스틱제품 제조업,1996-11-22,코스피,024070.KS
계양전기,012200,일반 목적용 기계 제조업,1988-07-06,코스피,012200.KS
국보,001140,도로 화물 운송업,1989-12-02,코스피,001140.KS
금호타이어,073240,고무제품 제조업,2005-02-17,코스피,073240.KS
기신정기,092440,특수 목적용 기계 제조업,2007-10-30,코스피,092440.KS
기아,000270,자동차용 엔진 및 자동차 제조업,1973-07-21,코스피,000270.KS
넥센타이어,002350,고무제품 제조업,1976-05-19,코스피,002350.KS
대호에이엘,069460,1차 비철금속 제조업,2002-11-11,코스피,069460.KS
동일산업,004890,1차 철강 제조업,2005-06-30,코스피,004890.KS
드림텍,192650,전자부품 제조업,2019-03-14,코스피,192650.KS
디아이,003160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996-07-31,코스피,003160.KS
롯데하이마트,071840,가전제품 및 정보통신장비 소매업,2011-06-29,코스피,071840.KS
