date,Inflation,GDP Growth,Unemployment
2023,4.11633838374488,2.88755600906016,3.638
2022,8.00279982052121,2.51237531983308,3.65
2021,4.69785886363742,6.05505293304576,5.349
2020,1.23358439630629,-2.16302913866514,8.055
